the,23
of,13
percent,12
patients,10
and,8
was,7
in,6
found,6
on,5
with,4
were,4
to,4
research,4
have,3
has,3
had,3
fever,3
coronavirus,3
a,3
wuhan,2
who,2
that,2
symptoms,2
said,2
paper,2
only,2
not,2
new,2
median,2
hospitals,2
findings,2
did,2
detected,2
days,2
contact,2
admission,2
zhong,1
years,1
wildlife,1
website,1
visited,1
virus,1
uncommon,1
though,1
than,1
study,1
starting,1
severe,1
scientist,1
scattered,1
reported,1
regions,1
ratio,1
rate,1
radiologic,1
radiographic,1
published,1
provinces,1
prominent,1
period,1
people,1
panel,1
outbreak,1
or,1
one,1
novel,1
nonresidents,1
no,1
nanshan,1
municipalities,1
most,1
mortality,1
more,1
mild,1
medicine,1
many,1
making,1
lymphocytopenia,1
led,1
journal,1
jan,1
it,1
into,1
incubation,1
incubated,1
including,1
hospitalization,1
help,1
heads,1
half,1
grew,1
government,1
friday,1
four,1
for,1
five,1
female,1
experts,1
england,1
during,1
disease,1
direct,1
diarrhea,1
data,1
ct,1
coughs,1
control,1
common,1
collected,1
city,1
case,1
by,1
based,1
autonomous,1
appointed,1
among,1
alongside,1
age,1
admitted,1
adding,1
across,1
according,1
abnormality,1
abnormal,1
